# Title: Online Malicious URL Splunk Lookup
# Updated: 2025-07-19T12:11:28Z
# Expires: 12 hours (update frequency)
# Homepage: https://gitlab.com/malware-filter/urlhaus-filter
# License: https://gitlab.com/malware-filter/urlhaus-filter#license
# Source: https://urlhaus.abuse.ch/api/
"host","path","message","updated"
"103.82.211.164","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.84.39.181","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.90.207.13","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.90.207.199","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.90.207.234","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"104.152.49.102","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"104.164.104.15","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"104.168.7.213","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"104.223.84.4","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"104.223.84.5","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"104.243.40.138","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"106.12.215.229","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"106.15.224.147","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"106.244.41.133","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"106.254.250.98","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"106.40.241.59","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"106.52.165.32","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"106.52.183.145","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"106.52.6.128","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"106.53.72.33","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"106.55.134.240","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.130.118.168","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.138","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.160","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.166","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.168","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.169","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.173","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.177","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.181","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.182","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.183","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.190","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"107.150.0.199","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
